	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
1509784	0.14926	0.81899	0.00000	0.94331	0.88351	3606.00000	15202.00000	0.81899	0.14926	0.00748	0.00513	8.00000	
1509785	0.16094	0.81893	0.00000	0.86492	0.76694	3794.00000	15201.00000	0.81893	0.16094	0.00673	0.00086	9.00000	
1509786	0.17225	0.81905	0.00000	0.77032	0.63967	3976.00000	15203.00000	0.81905	0.17225	0.00543	0.00169	8.00000	
1509787	0.17510	0.81899	0.00000	0.61024	0.55110	4022.00000	15202.00000	0.81899	0.17510	0.00768	0.00195	6.00000	
1509788	0.19119	0.81869	0.00000	0.42674	0.42674	4281.00000	15197.00000	0.81869	0.19119	0.00929	0.00391	9.00000	
1509789	0.19784	0.81899	0.00000	0.65160	0.65160	4388.00000	15202.00000	0.81899	0.19784	0.00893	0.00121	7.00000	
1509957	0.15504	0.81899	0.00000	0.55271	0.54768	3699.00000	15202.00000	0.81899	0.15504	0.00870	0.00207	9.00000	
1509958	0.15995	0.81911	0.00000	0.28426	0.28056	3778.00000	15204.00000	0.81911	0.15995	0.00821	0.00045	7.00000	
1509959	0.16492	0.81899	0.00000	0.41335	0.41335	3858.00000	15202.00000	0.81899	0.16492	0.00754	0.00177	8.00000	
1509960	0.17672	0.81899	0.00000	0.55191	0.55191	4048.00000	15202.00000	0.81899	0.17672	0.00425	0.00234	7.00000	
1509961	0.17790	0.81893	0.00000	0.42020	0.42020	4067.00000	15201.00000	0.81893	0.17790	0.00553	0.00298	6.00000	
1509962	0.18287	0.81917	0.00000	0.62370	0.60353	4147.00000	15205.00000	0.81917	0.18287	0.01303	0.00714	3.00000	
1509963	0.19007	0.81893	0.00000	0.60288	0.60288	4263.00000	15201.00000	0.81893	0.19007	0.00673	0.00269	7.00000	
